,Name,Name_no_underscore,Gender,Branches,Links,Main_character,Warehouse_worker,Community
210,Pizza_Delivery_Kid,Pizza Delivery Kid,Male,[],"['Michael Scott', 'Kevin Malone', 'Dwight Schrute', 'Oscar Martinez', 'Ryan Howard', 'Andy Bernard']",0,0,2
211,Polly,Polly,Female,['Dunder Mifflin Stamford'],['Jim Halpert'],0,0,1
212,Prison_Mike,Prison Mike,Male,[],"['Michael Scott', 'Martin Nash']",0,0,0
213,Rachael_Martin,Rachael Martin,Female,[],"['Martin Nash', 'Angela Martin']",0,0,0
214,Rachel_(Andy%27s_Girlfriend),Rachel (Andy%27s Girlfriend),Female,[],"['Andy Bernard', 'Darryl Philbin']",0,0,4
215,Rachel_Wallace,Rachel Wallace,Female,[],"['David Wallace', 'Dwight Schrute', 'Teddy Wallace']",0,0,3
216,Randall,Randall,Unknown,[],['Todd Packer'],0,0,8
217,Ravi,Ravi,Male,[],"['Kevin Malone', 'Nellie Bertram', 'Angela Martin', 'Dwight Schrute']",0,0,5
218,Recyclops,Recyclops,Male,[],['Dwight Schrute'],0,0,5
219,Reed,Reed,Male,[],"['Erin Hannon', 'Andy Bernard']",0,0,4
220,Reggie,Reggie,Male,[],['Deangelo Vickers'],0,0,4
221,Robert_California,Robert California,Male,['Dunder Mifflin Sabre'],"['Hidetoshi Hasagawa', 'Todd Packer', 'Bert California', 'Gabe Lewis', 'David Wallace', 'Jim Halpert', 'Pam Beesly', 'Darryl Philbin', 'Jo Bennett', 'Merv Bronte', 'Nellie Bertram', 'Andy Bernard', 'Robert Lipton', 'Susan California', 'Toby Flenderson']",1,0,4
222,Robert_Dunder,Robert Dunder,Male,[],"['Michael Scott', 'Robert Mifflin', 'Ryan Howard']",0,0,0
223,Robert_Lipton,Robert Lipton,Male,[],"['Angela Martin', 'Deangelo Vickers', 'Oscar Martinez', 'Dwight Schrute']",0,0,5
224,Robert_Mifflin,Robert Mifflin,Male,[],"['Michael Scott', 'Robert Dunder', 'Holly Flax']",0,0,0
225,Rolando,Rolando,Male,[],"['Karen Filippelli', 'Michael Scott', 'Dwight Schrute', 'Pam Beesly', 'Jim Halpert']",0,0,3
226,Rolf_Ahl,Rolf Ahl,Male,[],"['David Wallace', 'Charles Miner', 'Dwight Schrute']",0,0,3
227,Ronni,Ronni,Female,['Dunder Mifflin Scranton'],"['Michael Scott', 'Dwight Schrute', 'Creed Bratton', 'Ryan Howard']",0,0,0
228,Rory_Flenderson,Rory Flenderson,Male,[],"['Michael Scott', 'Toby Flenderson']",0,0,0
229,Rose,Rose,Female,[],"['Michael Scott', 'Dwight Schrute', 'Stanley Hudson', 'Andy Bernard']",0,0,8
230,Roy_Anderson,Roy Anderson,Male,['Dunder Mifflin Scranton'],"['Dwight Schrute', 'Jim Halpert', 'Dawn Tinsley', 'Pam Beesly', 'Lee', 'Laura Anderson', 'Kenny Anderson']",1,1,1
231,Ryan_Howard,Ryan Howard,Male,"['Dunder Mifflin Corporate Office', 'Dunder Mifflin Scranton']","['Kelly Kapoor', 'David Wallace', 'Jim Halpert', 'Robert California', 'Ravi', 'Melissa Hudson', 'Michael Scott', 'Drake Howard', 'Nellie Bertram', 'Jan Levinson', 'Neil Godwin']",1,0,3
232,Sadiq,Sadiq,Male,[],"['Michael Scott', 'Pam Beesly', 'Nick', 'Jim Halpert']",0,0,0
233,Sam,Sam,Male,[],"['Sophie', 'Pam Beesly', 'Jim Halpert', 'Andy Bernard', 'Lily']",0,0,1
234,Samuel_L._Chang,Samuel L. Chang,Unknown,[],"['Michael Scarn', 'Dwight Schrute']",0,0,6
235,Sasha_Flenderson,Sasha Flenderson,Female,[],"['Michael Scott', 'Toby Flenderson', 'Cathy Becker', 'Jim Halpert']",0,0,0
236,Sconesy_Cider,Sconesy Cider,Female,[],['Cecelia Halpert'],0,0,1
237,Scranton_Strangler,Scranton Strangler,Male,[],"['Dwight Schrute', 'Creed Bratton', 'Jim Halpert', 'Andy Bernard', 'Toby Flenderson']",0,0,0
238,Sensei_Billy,Sensei Billy,Male,[],"['David Wallace', 'Sensei Ira Glicksberg']",0,0,3
239,Sensei_Ira_Glicksberg,Sensei Ira Glicksberg,Male,[],"['Michael Scott', 'Dwight Schrute']",0,0,3
240,Seth_(Cece%27s_Godfather),Seth (Cece%27s Godfather),Male,[],"['Michael Scott', 'Pam Beesly', 'Jim Halpert', 'Cecelia Halpert']",0,0,1
241,Sophie,Sophie,Female,[],"['Sam', 'Andy Bernard', 'Pam Beesly', 'Jim Halpert', 'Lily']",0,0,1
242,Sprinkles,Sprinkles,Female,[],"['Michael Scott', 'Angela Martin', 'Dwight Schrute']",0,0,5
243,Stacy,Stacy,Female,[],"['Abby', 'Melissa Riley', 'Jim Halpert', 'Kevin Malone', 'Pam Beesly', 'Phyllis Vance']",0,0,2
244,Stanley_Hudson,Stanley Hudson,Male,['Dunder Mifflin Scranton'],"['Michael Scott', 'Karen Filippelli', 'Cynthia', 'Eric', 'Maurie', 'Megan', 'Teri Hudson', 'Phyllis Vance', 'Melissa Hudson']",1,0,8
245,Stephanie,Stephanie,Female,[],['David Wallace'],0,0,3
246,Steve,Steve,Unknown,[],['Michael Scott'],0,0,0
247,Steve_(actor_friend),Steve (actor friend),Male,[],"['Dwight Schrute', 'Pam Beesly', 'Jim Halpert', 'Cecelia Halpert', 'Phillip Halpert']",0,0,1
248,Steve_Nash,Steve Nash,Unknown,[],['Danny Cordray'],0,0,0
249,Sue,Sue,Female,[],"['Phyllis Vance', 'Pam Beesly']",0,0,8
250,Susan_California,Susan California,Female,[],"['Robert California', 'Andy Bernard']",0,0,4
251,Sylvia,Sylvia,Female,[],"['Penny Beesly', 'Pam Beesly', 'Helene Beesly', 'Jim Halpert', 'Phillip Halpert']",0,0,1
252,Ted_Kassar,Ted Kassar,Unknown,[],"['Michael Scott', 'Josh Porter', 'Jim Halpert']",0,0,3
253,Teddy_Wallace,Teddy Wallace,Male,[],"['David Wallace', 'Rachel Wallace', 'Dwight Schrute']",0,0,3
254,Teresa,Teresa,Unknown,[],"['Andy Bernard', 'Oscar Martinez']",0,0,4
255,Teri_Hudson,Teri Hudson,Female,[],"['Michael Scott', 'Cynthia', 'Dwight Schrute', 'Phyllis Vance', 'Melissa Hudson', 'Stanley Hudson', 'Gabe Lewis']",0,0,8
256,The_Benihana_Trio,The Benihana Trio,Female,[],"['Michael Scott', 'Dwight Schrute', 'Carol Stills', 'Jim Halpert', 'Andy Bernard']",0,0,6
257,The_Gypsy,The Gypsy,Unknown,[],"['The Killer', 'Ryan Howard', 'Meredith Palmer', 'Kelly Kapoor']",0,0,4
258,The_Killer,The Killer,Unknown,[],"['Erin Hannon', 'The Gypsy']",0,0,4
259,Tiffany,Tiffany,Female,[],"['Pam Beesly', 'Andy Bernard']",0,0,4
260,Tim_Canterbury,Tim Canterbury,Male,[],"['Gareth Keenan', 'Dawn Tinsley', 'Jim Halpert']",0,0,7
